sccs.,socname
1,Nama_Hottentot
2,Kung_Bushmen
13,Mbuti
26,Hausa
27,Massa_Masa
30,Otoro_Nuba
20,Mende
22,Bambara
24,Songhai
28,Azande
21,Wolof
25,Pastoral_Fulani
17,Ibo
18,Fon
19,Ashanti
23,Tallensi
16,Tiv
15,Banen
14,Nkundo_Mongo
5,Mbundu
6,Suku
7,Bemba
3,Thonga
4,Lozi
12,Ganda
11,Kikuyu
8,Nyakyusa
10,Luguru
9,Hadza
32,Mao
34,Masai
39,Kenuzi_Nubians
40,Teda
29,Fur_Darfur
31,Shilluk
33,MISSING_Kafa_Kaffa
35,Konso
36,Somali
38,Bogo
60,Gond
61,Toda
52,Lapps
53,Yurak_Samoyed
55,Abkhaz
41,Tuareg
42,Riffians
37,Amhara
43,Egyptians
46,Rwala_Bedouin
44,Hebrews
45,Babylonians
56,Armenians
57,Kurd
58,Basseri
64,Burusho
80,Vedda
59,Punjabi_West
63,Uttar_Pradesh
48,Gheg_Albanians
49,Romans
50,Basques
160,Haitians
54,Russians
51,Irish
165,Saramacca
79,Andamanese
88,Tobelorese
90,Tiwi
91,Aranda
99,Siuai
95,Kwoma
92,Orokaiva
93,MISSING_Kimam
94,Kapauku
47,Turks
65,Kazak
66,Khalka_Mongols
115,Manchu
119,Gilyak
116,Koreans
117,Japanese
118,Ainu
114,Chinese
67,Lolo
71,Burmese
68,Lepcha
69,Garo
70,Lakher
76,Siamese
62,Santal
77,Semang
78,Nicobarese
73,Vietnamese
72,Lamet
75,Khmer
113,Atayal
86,Badjau
112,Ifugao
81,Tanala
74,Rhade
84,Balinese
83,Javanese
82,Negri_Sembilan
85,Iban
87,Toradja
111,Palauans
89,Alorese
101,Pentecost
98,Trobrianders
97,New_Ireland
96,Manus
110,Yapese
107,Gilbertese
108,Marshallese
109,Trukese
102,Mbau_Fijians
103,Ajie
106,Western_Samoans
100,Tikopia
104,Maori
105,Marquesans
120,Yukaghir
121,Chukchee
123,Aleut
124,Copper_Eskimo
131,Haida
130,Eyak
148,Chiricahua
122,Ingalik
128,Slave
129,Kaska
132,Bellacoola
133,MISSING_Twana
139,MISSING_Kutenai
126,Micmac
134,MISSING_Yurok
127,Saulteaux
125,Montagnais
140,Gros_Ventre
141,Hidatsa
143,MISSING_Omaha
142,Pawnee
144,MISSING_Huron
171,Inca
172,Aymara
184,Mapuche
186,Yahgan
167,Cubeo_Tucano
164,Carib_Barama
185,Tehuelche
169,Jivaro
159,Goajiro
161,Callinago
166,Mundurucu
174,MISSING_Nambicuara
175,Trumai
177,Tupinamba
173,Siriono
181,Cayua
136,Yokuts_Lake
138,MISSING_Klamath
145,Creek
149,Zuni
146,MISSING_Natchez
155,Quiche
170,Amahuaca
182,Lengua
183,Abipon
154,Popoluca
137,Paiute_North
147,Comanche
151,Papago
152,Huichol
153,Aztec
162,Warrau
168,Cayapa
176,MISSING_Timbira
179,Shavante
178,MISSING_Botocudo
180,Aweikoma
135,MISSING_Pomo_Eastern
150,Havasupai
156,Miskito
163,Yanomamo
157,Bribri
158,Cuna_Tule
